team,language,version,chrf,cider
gators_v1,nahuatl,v0,25.417194770366912,0.1794663815546314
yaduha,nahuatl,v0,20.996833324458247,0.0284151644889804
NAIST,nahuatl,v0,20.926734880685512,0.0710897910671587
Mila,nahuatl,v2,20.655375615658027,0.0415000867742599
Mila,nahuatl,v1,19.85291322794736,0.0371812645925839
Mila,nahuatl,v3,19.72497337290743,0.0614786458252529
Mila,nahuatl,v0,19.42070640759411,0.0332495474911124
NAIST,nahuatl,v2,15.342431185401727,0.0597347343847683
InclusionVLM,nahuatl,v0,14.06085228521976,0.0030583996296129
NAIST,nahuatl,v1,10.09319363225163,0.0123003364082045
baseline,nahuatl,v0,9.522884641856182,0.0015364687964029
usp,nahuatl,v0,9.494719665439789,0.0001270749844248
