team,language,version,chrf,cider
NAIST,wixarika,v0,19.83913894604676,0.0422272959923909
6fanle,wixarika,v0,19.156944125169343,0.0214475585516019
Mila,wixarika,v2,19.01332232550476,0.0299325234097533
Mila,wixarika,v1,18.85348992481465,0.0249319729225813
Mila,wixarika,v0,18.810900013496425,0.02457290514869
InclusionVLM,wixarika,v0,18.370888819447153,0.0084387750247779
gators_v1,wixarika,v0,17.57869281665988,0.0326144872672262
baseline,wixarika,v0,16.910406826465856,0.0066322231802114
yaduha,wixarika,v0,15.605076449978474,0.0266292611450121
InclusionVLM,wixarika,v3,13.92926811854813,0.0078996460386903
usp,wixarika,v0,13.67812300004316,0.0027480142292
InclusionVLM,wixarika,v2,12.342296198910097,0.0078137760461203
Mila,wixarika,v3,10.984007716495826,0.0095608548325326
InclusionVLM,wixarika,v1,10.519069450270804,0.0014117853450292
