team,language,version,chrf,cider
NAIST,bribri,v0,19.365542404760973,0.1166831474804825
gators_v1,bribri,v1,17.90248863897963,0.1080929736914522
Mila,bribri,v0,11.72785588325036,0.0152093927635031
Mila,bribri,v2,11.308984240211087,0.0140461611778792
usp,bribri,v0,10.952430370221858,0.0007083889754262
Mila,bribri,v1,10.886389051574746,0.0086176244582359
gators_v1,bribri,v0,10.639999023623348,0.0212433695598014
yaduha,bribri,v0,10.030589130271927,0.008448262881744
InclusionVLM,bribri,v0,7.939244081496236,0.0058755496875353
baseline,bribri,v0,7.014071556834045,0.000493082852436
NAIST,bribri,v2,5.2884900122109135,0.0017801724683667
Mila,bribri,v3,4.555187127475785,0.0057896374859819
NAIST,bribri,v1,4.2094331739248005,0.0006658323426825
InclusionVLM,bribri,v1,2.5429113667626826,0.0002354883248533
